평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
2.0,0.0,1.3,74.0,5.2,1015.7,7.32,0.0,4.9,1.1,2
3.0,0.0,2.9,39.3,3.0,1019.5,10.24,0.0,2.5,2.2,1
4.9,0.0,5.8,55.3,4.8,1015.6,10.4,0.0,2.3,2.7,1
3.9,0.0,3.7,48.9,3.8,1015.7,9.25,0.0,3.3,2.6,1
-5.9,0.0,0.7,64.3,2.5,1027.2,10.18,0.0,4.6,0.9,1
-5.6,0.0,0.7,60.4,2.3,1017.2,10.46,0.0,0.1,1.0,1
4.7,0.0,2.6,44.3,3.7,1011.5,10.94,0.0,3.6,2.5,2
3.5,0.0,1.2,54.8,4.2,1016.4,11.97,0.0,2.5,1.7,1
2.6,0.0,2.1,55.6,4.1,1013.7,10.87,0.0,1.1,1.6,1
7.5,0.0,2.0,57.6,6.0,1021.1,11.16,0.0,0.6,2.0,1
17.5,0.3,0.8,74.3,14.8,1008.6,9.97,0.0,6.3,1.8,2
27.7,0.0,0.6,74.4,26.8,1002.3,23.02,0.0,0.0,4.2,2
27.6,0.0,2.0,72.5,26.1,1001.0,22.81,0.0,3.4,4.8,1
28.7,0.0,0.7,86.0,33.3,1001.9,23.11,0.0,3.6,4.4,1
23.7,0.0,0.9,73.8,20.6,1008.7,27.02,0.0,1.9,4.8,1
25.8,0.0,0.9,57.1,17.3,999.6,30.77,0.0,1.1,6.0,2
22.6,0.0,1.6,62.3,16.0,1005.4,25.25,0.0,4.9,5.0,1
23.4,0.0,1.7,76.5,21.8,1001.5,15.38,0.0,7.0,3.0,1
24.4,0.0,1.4,72.5,21.1,1002.5,25.67,0.0,5.5,4.9,1
23.2,0.0,1.0,56.8,14.4,926.2,26.93,0.0,3.4,5.6,2
23.5,0.0,1.0,67.0,18.6,1003.2,28.21,0.0,0.9,5.4,1
22.8,0.0,2.6,76.1,20.7,999.3,25.94,0.0,1.4,4.5,1
22.8,0.0,2.6,76.1,20.7,999.3,25.94,0.0,1.4,4.5,1
20.8,0.0,1.9,78.9,19.0,1000.3,26.51,0.0,3.8,4.4,1
24.1,0.0,2.0,54.3,16.0,1005.9,24.47,0.0,3.4,5.4,1
22.4,0.0,1.4,78.4,20.4,1010.1,22.97,0.0,8.0,3.8,1
18.6,0.0,2.6,69.5,14.8,1003.2,19.78,0.0,3.6,3.8,1
19.5,0.3,1.3,69.9,15.1,1007.3,28.47,0.0,1.8,4.9,2
17.6,0.0,3.6,64.5,12.9,1005.5,26.9,0.0,4.3,4.5,1
23.2,0.0,1.7,59.6,16.2,998.4,29.84,0.0,1.9,6.0,1
20.3,0.0,1.3,48.9,11.2,1004.3,29.0,0.0,0.4,5.8,1
21.4,0.0,1.6,44.6,10.0,1010.0,29.13,0.0,0.0,7.0,1
21.4,0.0,1.9,44.8,10.9,1005.6,26.61,0.0,3.4,5.4,1
18.8,0.0,2.0,51.3,10.7,1007.9,27.27,0.0,3.5,4.8,1
17.2,0.0,1.7,55.6,10.6,999.3,20.45,0.0,5.3,4.1,1
18.8,0.0,1.4,55.6,11.0,1014.5,22.25,0.0,4.3,4.7,1
18.8,0.0,1.4,55.6,11.0,1014.5,22.25,0.0,4.3,4.7,1
17.9,0.0,1.5,63.4,12.9,1009.1,26.6,0.0,1.3,4.6,1
15.7,0.0,1.0,71.6,11.7,1014.9,24.18,0.0,0.0,4.5,1
15.7,0.0,1.0,71.6,11.7,1014.9,24.18,0.0,0.0,4.5,2
16.8,0.0,1.2,63.3,10.4,1014.8,24.91,0.0,0.9,5.0,1
15.8,0.0,2.1,64.8,11.4,1011.8,25.47,0.0,3.5,4.2,1
17.1,0.0,1.3,50.3,9.5,1010.9,10.4,0.0,9.3,2.7,1
12.6,0.0,1.2,49.8,6.3,999.8,22.38,0.0,1.9,4.5,1
12.6,0.0,1.2,49.8,6.3,999.8,22.38,0.0,1.9,4.5,1
16.5,0.0,0.9,48.3,8.3,1004.8,23.37,0.0,4.1,4.6,1
17.0,0.0,1.4,46.8,7.8,1010.3,22.87,0.0,3.9,4.8,1
13.0,0.0,1.7,37.8,5.4,1009.8,23.04,0.0,1.1,4.8,1
17.2,0.0,0.8,39.5,7.1,1005.4,20.78,0.0,6.9,4.0,2
15.4,0.0,0.8,53.9,8.2,1006.3,25.14,0.0,0.5,4.7,1
15.4,0.0,0.8,53.9,8.2,1006.3,25.14,0.0,0.5,4.7,2
12.0,1.0,4.8,54.9,7.8,1010.4,10.07,0.0,7.6,2.8,2
